GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US04025,4025,"Yavapai County, Arizona",13.4,10.3,23.7
0500000US04027,4027,"Yuma County, Arizona",8.2,5.4,13.5
0500000US05007,5007,"Benton County, Arkansas",23.2,10.8,34
0500000US05031,5031,"Craighead County, Arkansas",16.9,10.6,27.5
0500000US05045,5045,"Faulkner County, Arkansas",20,12.9,32.8
0500000US05051,5051,"Garland County, Arkansas",12.7,6.8,19.5
0500000US05069,5069,"Jefferson County, Arkansas",12.4,6,18.4
0500000US05085,5085,"Lonoke County, Arkansas",17.6,5.8,23.4
0500000US05119,5119,"Pulaski County, Arkansas",20.4,14.4,34.7
0500000US05125,5125,"Saline County, Arkansas",16.6,9.1,25.7
0500000US05131,5131,"Sebastian County, Arkansas",14.3,7.4,21.7
0500000US05143,5143,"Washington County, Arkansas",20.3,12.5,32.8
0500000US05145,5145,"White County, Arkansas",15,8.3,23.4
0500000US06001,6001,"Alameda County, California",26.9,19.5,46.4
0500000US06007,6007,"Butte County, California",16.7,9.9,26.6
0500000US06013,6013,"Contra Costa County, California",26.7,15.5,42.2
0500000US06017,6017,"El Dorado County, California",22.7,11.5,34.2
0500000US06019,6019,"Fresno County, California",13.8,6.6,20.4
0500000US06023,6023,"Humboldt County, California",21.5,12.1,33.6
0500000US06025,6025,"Imperial County, California",10.4,4.7,15.1
0500000US06029,6029,"Kern County, California",10.4,5.6,16
0500000US06031,6031,"Kings County, California",9.4,3.8,13.2
0500000US06033,6033,"Lake County, California",9.5,4.2,13.7
0500000US06037,6037,"Los Angeles County, California",21.1,11.1,32.3
0500000US06039,6039,"Madera County, California",10.6,4.7,15.3
0500000US06041,6041,"Marin County, California",32.8,25.8,58.6
0500000US06045,6045,"Mendocino County, California",16.2,9.9,26.2
0500000US06047,6047,"Merced County, California",8.7,4.7,13.4
0500000US06053,6053,"Monterey County, California",14.9,9.9,24.8
0500000US06055,6055,"Napa County, California",23.4,12.8,36.2
0500000US06057,6057,"Nevada County, California",22.6,14.3,36.9
0500000US06059,6059,"Orange County, California",26.1,14.2,40.3
0500000US06061,6061,"Placer County, California",24.4,12.8,37.2
0500000US06065,6065,"Riverside County, California",14.3,7.9,22.2
0500000US06067,6067,"Sacramento County, California",20,10.6,30.5
0500000US06071,6071,"San Bernardino County, California",13.6,6.9,20.5
0500000US06073,6073,"San Diego County, California",23.7,15,38.8
0500000US06075,6075,"San Francisco County, California",35.1,22.7,57.8
